Domaine	Title	Text	Tag	URL
france	HUILE DE RICIN : TOUS LES BIENFAITS POUR LA PEAU, LES CHEVEUX, LES CILS ET LES ONGLES	Le chef de l'Etat «a décidé de lancer les Etats généraux de la justice», a annoncé l'Elysée, soulignant son «profond attachement» à «la séparation des pouvoirs», et alors que l'institution judiciaire est vivement critiquée par des élus politiques et des syndicats policiers.	BIEN-ETRE	https://www.cnews.fr/france/2021-06-04/huile-de-ricin-tous-les-bienfaits-pour-la-peau-les-cheveux-les-cils-et-les-ongles
france	ORAGES, PLUIES, INONDATIONS... L'ÎLE-DE-FRANCE FORTEMENT TOUCHÉE PAR UNE MÉTÉO CAPRICIEUSE	Le président a par ailleurs souhaité que «le Garde des Sceaux rende compte chaque année au Parlement de la politique pénale du gouvernement», précise l'Elysée dans son communiqué.	MÉTÉO	https://www.cnews.fr/france/2021-06-04/orages-pluies-inondations-lile-de-france-fortement-touchee-par-une-meteo
france	SEINE-SAINT-DENIS : TROIS POLICIERS MIS EN EXAMEN APRÈS LE DÉCÈS D'UN HOMME À DRANCY		VIOLENCES POLICIÈRES	https://www.cnews.fr/france/2021-06-04/seine-saint-denis-trois-policiers-mis-en-examen-apres-le-deces-dun-homme-drancy
france	ESSONNE: UN ADOLESCENT FRAPPÉ À COUPS DE MARTEAU, DEUX MINEURS MIS EN EXAMEN	L'annonce a été faite vendredi soir lors d'un entretien à leur demande avec Chantal Arens, la première présidente de la Cour de Cassation, et François Molins, le procureur général de la Cour de Cassation. M. Molins, l'un des plus hauts magistrats français, s'était insurgé fin avril dans une interview au Monde contre le procès en «laxisme» fait selon lui à la justice, face à la polémique suscitée par la décision de déclarer pénalement irresponsable le meurtrier de la sexagénaire juive Sarah Halimi.	AGRESSION	https://www.cnews.fr/france/2021-06-04/essonne-un-adolescent-frappe-coups-de-marteau-deux-mineurs-mis-en-examen-pour
videos	RENNES : DES BÂCHES NOIRES INSTALLÉES SUR UNE ÉCOLE POUR NE PAS VOIR LES DEALERS	Le 19 mai, des dizaine de milliers de policiers avaient par ailleurs manifesté devant l'Assemblée nationale, en présence notamment du ministre de l'Intérieur, Gérald Darmanin, et de nombreux élus LR et RN, mais aussi d'élus de gauche, tels par exemple que la maire PS de Paris Anne Hidalgo, ou l'eurodéputé EELV Yannick Jadot. La critique de la justice était parmi les principaux mots d'ordre des syndicats policiers à cette occasion. Elle a été reprise à leur compte par le Rassemblement national et de nombreuses voix parmi les Républicains. Le 25 mai, devant l'Assemblée nationale, le Garde des Sceaux Eric Dupond-Moretti avait appelé à ne pas «opposer la justice et la police», alors que la préoccupation sécuritaire est, selon les sondages, parmi les principales inquiétudes des Français.	SÉCURITÉ	https://www.cnews.fr/videos/france/2021-06-04/rennes-des-baches-noires-installees-sur-une-ecole-pour-ne-pas-voir-les
france	TEMPÊTE ALEX : ÉRIC CIOTTI RELANCE EMMANUEL MACRON POUR LUI RÉCLAMER LES MOYENS FINANCIERS PROMIS	Devant les deux magistrats, Emmanuel Macron a «durant cet échange apaisé et constructif, rappelé son profond attachement au principe de la séparation des pouvoirs et au principe de l’indépendance de l’autorité judiciaire dont il est le garant», selon l'Elysée.	CATASTROPHE NATURELLE	https://www.cnews.fr/france/2021-06-04/tempete-alex-eric-ciotti-relance-emmanuel-macron-pour-lui-reclamer-les-moyens
videos	SARCELLES : LES COURSES-POURSUITES INTERDITES AUX POLICIERS	Les forces de l’ordre, qui sont devenues les cibles potentielles de jihadistes partout en France, réclament un renforcement de la sécurité des bâtiments qui les abritent.	SÉCURITÉ	https://www.cnews.fr/videos/france/2021-06-04/sarcelles-les-courses-poursuites-interdites-aux-policiers-1089029
videos	LYON : TENTATIVE D'EXPÉDITION PUNITIVE CONTRE UNE LYCÉENNE	À Nice, ville frappée par le terrorisme le 14 juillet 2016 et le 29 octobre 2020, la question de la sûreté des postes de police est prise très au sérieux par les fonctionnaires qui craignent une recrudescence des passages à l’acte. «Nous savons qu’il existe des phénomènes de mimétisme et que la menace est à son plus haut niveau, explique Emanuel Cravello, délégué national d’Alliance Police Nationale. Actuellement, le risque terroriste est présent à l’esprit de beaucoup de collègues.»	SÉCURITÉ	https://www.cnews.fr/videos/france/2021-06-04/lyon-tentative-dexpedition-punitive-contre-une-lyceenne-1089023
france	JEAN CASTEX EN VISITE CE VENDREDI SUR LE PORTE-AVIONS CHARLES-DE-GAULLE	«Les policiers doivent pouvoir se protéger de l’extérieur, comme n'importe quelle administration», insiste Karine Jouglas, la responsable du syndicat dans les Alpes-Maritimes.	POLITIQUE	https://www.cnews.fr/france/2021-06-04/jean-castex-en-visite-ce-vendredi-sur-le-porte-avions-charles-de-gaulle-1088742
france	LA SEMAINE DE PHILIPPE LABRO : UN ÉTÉ EN BONNE VOIE, UN SIÈCLE DE BELLES VOIX	Après l’attentat au couteau qui a coûté la vie le 23 avril dernier à Stéphanie Monfermé, une fonctionnaire administrative à Rambouillet, les représentants des forces de l’ordre demandent l’installation d’équipements spécifiques comme des barrières hautes, des caméras de vidéosurveillance, des bornes anti- véhicule bélier ou encore des SAS à l’entrée des commissariats.	EDITORIAL	https://www.cnews.fr/france/2021-06-04/la-semaine-de-philippe-labro-un-ete-en-bonne-voie-un-siecle-de-belles-voix-1088871
france	RÉGIONALES EN PROVENCE-ALPES-CÔTE D'AZUR : THIERRY MARIANI EN TÊTE DES INTENTIONS DE VOTE	«Quelques jours après le drame de Rambouillet, le Premier ministre a annoncé une enveloppe de 10 millions d’euros pour renforcer la sécurité des postes de police, précise Emmanuel Cravello. Mais cette question doit faire l’objet d’une inscription au programme annuel de prévention. Nos collègues méritent une sécurité sans faille.»	BAROMÈTRE CNEWS/OPINIONWAY	https://www.cnews.fr/france/2021-06-04/regionales-en-provence-alpes-cote-dazur-thierry-mariani-en-tete-des-intentions-de
france	NOMBRE DE PERSONNES EN RÉANIMATION, NOMBRE DE DÉCÈS À L'HÔPITAL, RÉGIONS TOUCHÉES... LE CORONAVIRUS EN CHIFFRES ET EN CARTE	Alors que la France fait face à une troisième vague, le point sur le Covid-19 avec les chiffres de Santé Publique France et du ministère de la Santé.	PANDÉMIE	https://www.cnews.fr/france/2021-05-16/nombre-de-personnes-en-reanimation-nombre-de-deces-lhopital-regions-touchees-le
france	CORONAVIRUS EN FRANCE : LE BILAN DE CE JEUDI 3 JUIN	Ce vendredi 4 juin, 6.953 nouveaux cas de Covid-19 ont été recensés en 24 heures, selon les chiffres de Santé publique France, soit un total de 5.701.029 cas confirmés depuis le début de l’épidémie.	ÉPIDÉMIE	https://www.cnews.fr/france/2021-06-03/coronavirus-en-france-le-bilan-de-ce-jeudi-3-juin-1088961
france	AGRESSION RACISTE À CERGY : LE SUSPECT SERA FINALEMENT JUGÉ LE 8 JUILLET	Le taux de positivité des tests s’établit à 2,9%.	FAITS DIVERS	https://www.cnews.fr/france/2021-05-31/cergy-un-livreur-victime-dune-agression-raciste-la-police-ouvre-une-enquete
france	PANNE DES NUMÉROS D'URGENCE : UN ENFANT EST MORT EN VENDÉE	A ce jour, 14.801 malades du Covid-19 étaient hospitalisés en France. Les services de réanimation comptabilisaient quant à eux 2.571 patients.	DRAME	https://www.cnews.fr/france/2021-06-03/panne-des-numeros-durgence-un-enfant-est-mort-en-vendee-1088955
france	SIX MOIS APRÈS LA MORT DE CLAUDE JEAN-PIERRE, SUITE À UN CONTRÔLE DE GENDARMERIE, SA FAMILLE ATTEND TOUJOURS DES RÉPONSES	81 personnes ont succombé au Covid-19 dans les hôpitaux ces dernières 24 heures. Le bilan total fait état de 109.945 morts depuis le début de l'épidémie, dont 83.519 à l'hôpital.	GUADELOUPE	https://www.cnews.fr/france/2021-06-03/six-mois-apres-la-mort-de-claude-jean-pierre-suite-un-controle-de-gendarmerie-sa
france	INSÉCURITÉ : LA VIOLENCE PRÉSENTE AU QUOTIDIEN	Depuis le début de la campagne de vaccination, 27.084.324 personnes ont reçu une première injection de vaccin anti-Covid. Et 13.065.082 Français ont un cycle terminal vacciné.	SOCIÉTÉ	https://www.cnews.fr/france/2021-06-03/insecurite-la-violence-presente-au-quotidien-1088934
france	UBER EATS, DELIVEROO, JUST EAT... VOICI LE PORTRAIT-ROBOT DES LIVREURS À DOMICILE DANS LE NORD-EST PARISIEN	Le président de Debout La France était à Nice ce vendredi pour présenter la tête de liste régionale du « Rassemblement de la Droite Républicaine », le Vauclusien Noël Chuisano et celle des Alpes-Maritimes, Stéphanie Gibaud. Nicolas Dupont-Aignan en a profité pour dénoncer le climat qui entoure la campagne de ces élections régionales en Paca.	PARIS	https://www.cnews.fr/france/2021-06-03/uber-eats-deliveroo-just-eat-voici-le-portrait-robot-des-livreurs-domicile-dans-le
france	LE VOL ALLER-RETOUR NICE-NEW YORK À SEULEMENT 387 EUROS	À deux semaines du premier tour, le 20 juin prochain, le président de Debout la France a fait signer à ses candidats une « charte éthique » qu’ils s’engagent à appliquer, en cas victoire dans cette élection. « Si l’argent publique n’est pas bien employé, ce n’est pas seulement parce qu’il y a de la légèreté, a estimé Nicolas Dupont-Aignan. C’est aussi parce qu’il y a beaucoup de corruption. Nous sommes convaincus que cette charte est très importante car le diable se niche dans les détails ».	TRANSPORT	https://www.cnews.fr/france/2021-06-03/le-vol-aller-retour-nice-new-york-seulement-387-euros-1088892
france	NOUVELLE-AQUITAINE : POURQUOI LA SITUATION SANITAIRE EST-ELLE INQUIÉTANTE ?	Le député de l’Essonne a également dénoncé le climat « délétère » qui entoure la campagne de ces élections régionales en Paca, marquée par le psychodrame chez Les Républicains (né de l’alliance entre le président sortant avec la majorité présidentielle) et les attaques à répétition entre Renaud Muselier soutenu par LR et le candidat RN Thierry Mariani, qui fait la course en tête dans les sondages.  	CORONAVIRUS	https://www.cnews.fr/france/2021-06-03/nouvelle-aquitaine-pourquoi-la-situation-sanitaire-est-elle-inquietante-1088754
france	BASKETS LIDL : VOICI LA DATE DE LEUR RETOUR DANS LES MAGASINS	« Une fois de plus, on joue le second tour avant le premier, a déploré Nicolas Dupont-Aignan. Ce faisant, on restreint encore un peu le choix politique et on dégoute encore un peu plus les Français de la politique. Le seul argument de Mariani, c’est de dire qu’il faut battre Muselier et le seul argument de Muselier est de dire : « danger Mariani ». En fait, ce sont les deux mêmes, puisqu’ils étaient ensemble. Ce sont des frères siamois ».	COMMERCE	https://www.cnews.fr/france/2021-06-03/baskets-lidl-voici-la-date-de-leur-retour-dans-les-magasins-1088823
france	AFFAIRE MAËLYS : NORDAHL LELANDAIS RENVOYÉ AUX ASSISES POUR MEURTRE	« Cela donne une image déplorable de cette élection, renchérit la tête de liste régionale du « Rassemblement de la Droite Républicaine », le Vauclusien Noël Chuisano. C’est mépriser les électeurs. Que l’on ne s’étonne pas si l’abstention grimpe encore ».	JUSTICE	https://www.cnews.fr/france/2021-06-03/affaire-maelys-nordahl-lelandais-renvoye-aux-assises-pour-meurtre-1088859
france	UNE SÉNATRICE (LR) AZURÉENNE VEUT QUE L'ÉTAT COMPENSE LES DÉPENSES DES COLLECTIVITÉS	Selon un récent sondage Ifop Fiducial, la liste est créditée de 4% mais le président de Debout La France pense qu’elle pourra atteindre la barre des 10%, synonyme de qualification pour le second tour, le 27 juin prochain.	CRISE SANITAIRE	https://www.cnews.fr/france/2021-06-03/une-senatrice-lr-azureenne-veut-que-letat-compense-les-depenses-des-collectivites
france	PANNE DES NUMÉROS D'URGENCE : LE PARQUET DE VANNES VA OUVRIR UNE ENQUÊTE APRÈS LA MORT D'UN PATIENT	Bientôt une nouveauté dans les centres de vaccination anti-Covid. Des tests sérologiques rapides, appelés TROD, vont être proposés courant juin aux Français venant recevoir leur première dose. Servant à identifier une possible contamination antérieure au coronavirus, ils dispenseront les personnes testées positives de seconde injection.	TÉLÉCOMS	https://www.cnews.fr/france/2021-06-03/panne-des-numeros-durgence-le-parquet-de-vannes-va-ouvrir-une-enquete-apres-la
videos	PROCÈS DE MILA : «JE NE M'EN REMETS PAS», LANCE SON AVOCAT RICHARD MALKA	Un TROD est un test par prélèvement sanguin. Une goutte de sang est prélevée au bout du doigt du patient. Quinze minutes plus tard, le résultat tombe. S'il est positif, cela signifie que la personne dispose d'anticorps contre le Covid-19 et a donc déjà été en contact avec le virus.	JUSTICE	https://www.cnews.fr/videos/france/2021-06-03/proces-de-mila-je-ne-men-remets-pas-lance-son-avocat-richard-malka-1088793
france	CORONAVIRUS : VERS LA FIN DU MASQUE EN EXTÉRIEUR ?	Dans son avis du 11 février dernier, la Haute autorité de santé (HAS) expliquait qu'une seule dose de vaccin était nécessaire pour les personnes ayant déjà contracté le Covid-19 - une contamination qui doit être prouvée par un test PCR ou antigénique.	PANDÉMIE	https://www.cnews.fr/france/2021-06-03/coronavirus-vers-la-fin-du-masque-en-exterieur-1088733
france	LYON : UN HOMME DÉTRUIT LA PORTE DE SON VOISIN À COUPS DE HACHE SUITE À UN DIFFÉREND	Sauf que toutes les personnes qui ont déjà été infectées ne le savent pas, souligne l'HAS dans ses dernières recommandations, publiées jeudi. Et l'instance publique de citer des chiffres : l'Institut Pasteur estime que 23 % de la population de France métropolitaine a déjà eu le Covid-19, alors que seulement 8 % a été dépisté via un test PCR ou antigénique.	FAITS DIVERS	https://www.cnews.fr/france/2021-06-03/lyon-un-homme-detruit-la-porte-de-son-voisin-coups-de-hache-suite-un-differend
france	MONTPELLIER : EN PLEINE NUIT, ELLE TROUVE UN CAMBRIOLEUR ENDORMI AU PIED DE SON LIT	C'est là qu'interviennent les TROD. Ils pourraient «permettre de vacciner plus rapidement de nombreuses personnes sans antécédent connu d’infection au virus, et libérer un nombre important de créneaux de vaccination dans les prochaines semaines», explique l'HAS dans sa décision rendue publique jeudi au sujet de ces tests, déjà disponibles en pharmacie depuis le mois de juillet dernier.	FAITS DIVERS	https://www.cnews.fr/france/2021-06-03/montpellier-en-pleine-nuit-elle-trouve-un-cambrioleur-endormi-au-pied-de-son-lit
videos	RENAUD MUSELIER : «PAS DE PACTE AVEC L'EXTRÊME DROITE»	Le ministre de la Santé Olivier Véran a indiqué mercredi soir sur le plateau du journal de 20 heures de TF1 que les centres de vaccination seraient équipés de ces tests sérologiques rapides «au cours du mois de juin». La HAS a préconisé qu'ils soient gratuits et facultatifs, et que soit menée une phase d'expérimentation dans quelques centres «avant toute mise en place à grande échelle».	POLITIQUE	https://www.cnews.fr/videos/france/2021-06-03/renaud-muselier-pas-de-pacte-avec-lextreme-droite-1088649
videos	PRISON : À CAUSE DU MANQUE DE PLACE, LE NOMBRE DE DÉTENUS SOUS BRACELET ÉLECTRONIQUE EST EN HAUSSE	Concrètement, à l'arrivée au centre de vaccination, sera proposé, seulement aux personnes venant recevoir une première dose de sérum, un TROD, à réaliser juste avant l'injection. Puis, après la période de surveillance post-vaccinale de 15 minutes, le patient se verra donner le résultat de son test. S'il s'avère positif, le rendez-vous pour la seconde dose sera annulé et la personne sera considérée comme complètement vaccinée.	JUSTICE	https://www.cnews.fr/videos/france/2021-06-03/prison-cause-du-manque-de-place-le-nombre-de-detenus-sous-bracelet
videos	VACCINATION OUVERTE AUX 12-18 ANS : LES ADOLESCENTS MITIGÉS	Si la HAS recommande seulement aujourd'hui d'utiliser ces tests dans la stratégie vaccinale française, cinq mois après le lancement de la campagne de vaccination, ce n'est pas un hasard, assure-t-elle. «Nous arrivons à une phase de la campagne de vaccination qui cible des personnes plus jeunes», a expliqué jeudi la présidente de la HAS, Dominique Le Guludec, en conférence de presse. Soit un public plus susceptible d'avoir fait une forme asymptomatique de la maladie, et donc d'avoir été infecté sans s'en rendre compte.	COVID-19	https://www.cnews.fr/videos/france/2021-06-03/vaccination-ouverte-aux-12-18-ans-les-adolescents-mitiges-1088557
france	PARIS : LES MIGRANTS INSTALLÉS PRÈS DU CANAL SAINT-MARTIN ONT ÉTÉ ÉVACUÉS	Le site BuzzFeedNews a révélé l’existence d’un mail en date du 25 mars 2020 de Jean-François Delfraissy, président du Conseil scientifique, à Anthony Fauci, immunologue américain et conseiller sur le Covid-19 aux Etats-Unis, dans lequel le Français se plaint d’être victime de pressions politiques afin d’autoriser l’accès à l’hydroxychloroquine.	IMMIGRATION	https://www.cnews.fr/france/2021-06-03/paris-les-migrants-installes-pres-du-canal-saint-martin-ont-ete-evacues-1088251
france	COVID : IL SERA POSSIBLE DE DÉCALER SA 2E DOSE POUR PARTIR EN VACANCES	«Je subis une énorme pression politique pour autoriser l’hydroxychloroquine et l’administrer à tout le monde mais je résiste pour l’instant», écrit-il. Le message fait partie de milliers de mails récupérés grâce au « Freedom of Information Act », loi américaine permettant à tout citoyen d’accéder aux documents administratifs au nom du droit à l’information.	SANTE	https://www.cnews.fr/france/2021-06-03/covid-il-sera-possible-de-decaler-sa-2e-dose-pour-partir-en-vacances-1088625
videos	CORONAVIRUS : DU RELÂCHEMENT EN OCCITANIE ?	Vantée notamment par le professeur Raoult qui mettait en avant son efficacité supposée en association à l’azithromycine (un antibiotique), l’utilisation de l’hydroxychloroquine, dérivé de l’antipaludéen chloroquine, avait été soutenue en France par plusieurs élus de tout bord au mois de mars 2020, alors que le pays était frappé de plein fouet par la première vague de l’épidémie.	ÉPIDÉMIE	https://www.cnews.fr/videos/france/2021-06-03/coronavirus-du-relachement-en-occitanie-1088598
france	VOICI LE SIGNE ASTROLOGIQUE QUI SERAIT LE PLUS MALCHANCEUX	Sous pression, le gouvernement avait fini par autoriser par décret et après l’avis favorable du Haut conseil de la santé publique (HCSP), l’administration du Plaquenil (médicament à base d’hydroxychloroquine), à l’hôpital uniquement, et seulement pour les cas graves. Différentes études scientifiques avaient dans la foulée conclu à l’inefficacité de ce traitement dans la lutte contre le coronavirus.	ASTROLOGIE	https://www.cnews.fr/france/2021-06-03/voici-le-signe-astrologique-qui-serait-le-plus-malchanceux-1087976
france	AFFAIRE MILA : PROCÈS RENVOYÉ AU 21 JUIN	Le 26 mai, le Haut conseil de la santé publique et l'Agence du médicament (ANSM) avaient finalement émis deux avis défavorables à l'utilisation de l'hydroxychloroquine contre le Covid-19, comme traitement ou lors d'essais cliniques. Le lendemain, le gouvernement abrogeait les dispositions dérogatoires autorisant sa prescription, clôturant définitivement le débat.	JUSTICE	https://www.cnews.fr/france/2021-06-03/affaire-mila-proces-renvoye-au-21-juin-1088305
france	7 FRANÇAIS SUR 10 VEULENT VOIR LES ÉTRANGERS CONDAMNÉS EN FRANCE EMPRISONNÉS DANS LEUR PAYS	Le traditionnel défilé militaire du 14 juillet sur les Champs-Elysées à Paris fera son retour cette année, ont annoncé ce vendredi ses organisateurs, après avoir été remplacé l'an dernier par une cérémonie restreinte place de la Concorde, Covid oblige. Contrairement à 2020, il y aura du public.	SONDAGE	https://www.cnews.fr/france/2021-06-03/7-francais-sur-10-veulent-voir-les-etrangers-condamnes-en-france-emprisonnes-dans
france	CORONAVIRUS EN FRANCE : LE BILAN DE CE MERCREDI 2 JUIN	Les tribunes devraient accueillir environ 25.000 personnes, dont évidemment le président Emmanuel Macron. Celles assises ne feront l'objet d'aucune jauge, tandis que, dans celles debout, seule une personne tous les 4 m2 sera autorisée. Le grand public devrait pouvoir être autorisé à admirer les régiments derrière les barrières de sécurité sur les Champs-Elysées.	ÉPIDÉMIE	https://www.cnews.fr/france/2021-06-02/coronavirus-en-france-le-bilan-de-ce-mercredi-2-juin-1088542
france	PARIS : LA CRÉATION D'UNE POLICE MUNICIPALE ADOPTÉE À 79 % DES VOIX	La plus belle avenue du monde verra parader environ 5.000 participants, dont 4.300 militaires à pied, auxquels s'ajouteront 71 avions, 25 hélicoptères, 221 véhicules et 200 chevaux de la Garde républicaine.	SÉCURITÉ	https://www.cnews.fr/france/2021-06-02/paris-la-creation-dune-police-municipale-adoptee-79-des-voix-1088512
france	PANNE DES NUMÉROS D'URGENCE : «AUCUN SIGNE» D'«ATTAQUE EXTERNE», SELON LE PDG D'ORANGE	Pour ce 14 juillet, dont le slogan est «Gagner l’avenir», du nouveau matériel militaire sera présenté, notamment le blindé Griffon de l'Armée de Terre, le nouveau camion-citerne blindé CaRaPACE, déployé au Sahel, et l'avion léger de reconnaissance et de surveillance (ALSR) de l'Armée de l'Air, utilisé pour collecter du renseignement. Ce dernier participera au traditionnel défilé aérien ouvert par la Patrouille de France.	PANNE	https://www.cnews.fr/france/2021-06-02/panne-chez-orange-le-reseau-est-desormais-retabli-1088509
france	PARIS : LES COMMUNISTES FONT VOTER UN «PLAN D'URGENCE» POUR LA JEUNESSE	Certaines troupes seront à l'honneur, dont la force européenne Takuba, en mission au Mali, dont les opérations viennent d'être suspendues en raison du coup d'Etat militaire du 24 mai à Bamako.	CORONAVIRUS	https://www.cnews.fr/france/2021-06-02/paris-les-communistes-font-voter-un-plan-durgence-pour-la-jeunesse-1086174
france	ATTEINT D'UN CANCER, AXEL KAHN ÉVOQUE LA MORT SUR TWITTER DE FAÇON POIGNANTE	Le défilé, qui durera environ 2 heures, s'achèvera en musique avec une chorale de 120 «jeunes engagés» : lycéens militaires, membre du service civique, des services militaires volontaire (SMV) et adapté, et pompiers bénévoles.	SANTE	https://www.cnews.fr/france/2021-06-02/atteint-dun-cancer-axel-kahn-evoque-la-mort-sur-twitter-de-facon-poignante-1088473
france	VAL-DE-MARNE : L'ŒIL D'UN COLLÉGIEN BRÛLÉ À 80% SUITE À UNE PROJECTION DE GEL HYDROALCOOLIQUE	Des animations seront par ailleurs proposées aux Parisiens en marge des célébrations : exposition d'aéronefs aux Invalides et présentation d'équipements et de matériels des armées dans plusieurs arrondissements de la capitale.	FAIT DIVERS	https://www.cnews.fr/france/2021-06-02/val-de-marne-loeil-dun-collegien-brule-80-suite-une-projection-de-gel
france	COVID-19 : L'INSERM LANCE UN ESSAI SUR LE MÉLANGE DES VACCINS À ARN MESSAGER	Un candidat est venu jouer les trouble-fêtes lors de l'élection législative partielle organisée dans le 20e, dont le premier tour s'est déroulé dimanche dernier. A deux jours du second tour, l'élection pourrait encore être invalidée, si le candidat LR dépose un recours devant le conseil constitutionnel, comme il l'avait annoncé.	PANDÉMIE	https://www.cnews.fr/france/2021-06-02/covid-19-linserm-lance-un-essai-sur-le-melange-des-vaccins-arn-messager-1088494
